Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,11.200000,14.780000,9.000000,12.040000,12.040000,80426100
2015-12-01,12.120000,13.500000,11.800000,13.090000,13.090000,27260800
2016-01-01,12.750000,12.900000,8.265000,8.770000,8.770000,32931300
2016-02-01,8.790000,10.880000,8.061000,10.440000,10.440000,32838700
2016-03-01,10.600000,15.910000,10.240000,15.280000,15.280000,73600300
2016-04-01,15.230000,15.870000,13.000000,14.890000,14.890000,49822400
2016-05-01,14.900000,15.000000,8.630000,9.530000,9.530000,100051900
2016-06-01,9.500000,9.680000,8.420000,9.050000,9.050000,73499700
2016-07-01,9.200000,10.300000,8.780000,10.070000,10.070000,51398000
2016-08-01,10.020000,12.540000,9.850000,12.190000,12.190000,165890300
2016-09-01,12.210000,12.240000,11.020000,11.660000,11.660000,72750100
2016-10-01,11.610000,11.850000,10.880000,11.200000,11.200000,53054600
2016-11-01,11.200000,13.000000,11.000000,12.940000,12.940000,141832100
2016-12-01,12.740000,14.820000,12.460000,13.630000,13.630000,101273300
2017-01-01,13.820000,15.490000,13.660000,14.620000,14.620000,80287300
2017-02-01,14.490000,18.170000,13.840000,17.320000,17.320000,158705100
2017-03-01,17.530001,17.639999,16.110001,17.280001,17.280001,139394300
2017-04-01,17.240000,18.455000,16.660000,18.240000,18.240000,100151500
2017-05-01,18.330000,23.570000,18.080000,22.990000,22.990000,198048900
2017-06-01,23.049999,24.969999,22.410000,23.459999,23.459999,187439400
2017-07-01,23.549999,27.969999,22.660000,26.350000,26.350000,150495000
2017-08-01,26.580000,27.299999,24.219999,26.110001,26.110001,150357500
2017-09-01,26.100000,29.000000,25.240000,28.809999,28.809999,145427800
2017-10-01,28.799999,37.439999,28.780001,37.189999,37.189999,169113400
2017-11-01,37.480000,49.560001,34.750000,39.220001,39.220001,550387200
2017-12-01,39.340000,39.790001,34.139999,34.669998,34.669998,340905500
2018-01-01,34.700001,47.500000,34.680000,46.910000,46.910000,338695000
2018-02-01,45.750000,48.000000,36.759998,46.049999,46.049999,281950100
2018-03-01,46.000000,58.459999,44.290001,49.200001,49.200001,353436300
2018-04-01,48.880001,52.500000,43.720001,47.340000,47.340000,226106600
2018-05-01,47.110001,58.900002,46.500999,58.250000,58.250000,241215600
2018-06-01,58.700001,69.400002,58.280998,61.639999,61.639999,219203200
2018-07-01,60.470001,73.190002,60.259998,64.650002,64.650002,173590500
2018-08-01,65.099998,89.695000,64.220001,88.639999,88.639999,251388300
2018-09-01,88.739998,100.389999,81.529999,99.010002,99.010002,258442700
2018-10-01,100.800003,101.150002,64.494003,73.449997,73.449997,471051700
2018-11-01,74.010002,83.000000,55.369999,69.839996,69.839996,361828500
2018-12-01,73.070000,73.089996,49.820000,56.090000,56.090000,348501800
2019-01-01,54.099998,78.150002,52.259998,71.349998,71.349998,401513300
2019-02-01,71.050003,82.779999,69.720001,81.239998,81.239998,229202300
2019-03-01,80.970001,81.029999,71.099998,74.919998,74.919998,209657000
2019-04-01,75.589996,77.839996,69.790001,72.820000,72.820000,160252200
2019-05-01,73.949997,74.730003,61.310001,61.950001,61.950001,228135400
2019-06-01,61.950001,74.550003,59.891998,72.529999,72.529999,156163900
2019-07-01,73.900002,82.660004,72.650002,80.410004,80.410004,154179600
2019-08-01,81.099998,83.199997,60.251999,61.840000,61.840000,222887000
2019-09-01,62.430000,63.980000,54.410000,61.950001,61.950001,210514300
2019-10-01,62.299999,64.550003,57.619999,61.430000,61.430000,137269300
2019-11-01,61.570000,69.730003,59.910000,69.120003,69.120003,179997300
2019-12-01,68.949997,68.959999,61.000000,62.560001,62.560001,108976700
2020-01-01,62.990002,77.070000,61.130001,74.690002,74.690002,170282100
2020-02-01,74.889999,87.250000,74.599998,83.330002,83.330002,195464600
2020-03-01,82.800003,84.419998,32.330002,52.380001,52.380001,433523400
2020-04-01,49.779999,66.889999,42.330002,65.139999,65.139999,338868600
2020-05-01,62.840000,84.089996,61.090000,81.080002,81.080002,269504400
2020-06-01,81.000000,107.839996,80.120003,104.940002,104.940002,276468900
2020-07-01,106.919998,133.809998,106.540001,129.850006,129.850006,318476900
2020-08-01,130.259995,161.539993,130.259995,159.559998,159.559998,248080100
2020-09-01,164.809998,170.610001,134.000000,162.550003,162.550003,234213000
2020-10-01,166.139999,193.440002,152.429993,154.880005,154.880005,170582800
2020-11-01,158.000000,215.000000,151.100006,210.960007,210.960007,227838900
2020-12-01,212.559998,243.380005,195.130005,217.639999,217.639999,199124200
2021-01-01,222.494995,225.979996,216.000000,221.160004,221.160004,9823900
2021-01-04,222.494995,225.979996,216.000000,221.160004,221.160004,9664977
